Word,Amount
ect,62207
enron,38233
tana,20714
please,18199
pm,16110
enronxgate,10974
thanks,9363
agreement,9069
communications,7783
credit,7781
mark,7751
us,7252
eol,6754
attached,6547
counterparty,6480
new,6252
trading,6218
may,6092
know,6061
jones,5880
would,5847
message,5727
sent,5707
legal,5431
call,5247
master,5223
power,5117
product,5013
isda,5005
company,4999
shall,4960
need,4927
trade,4793
energy,4756
information,4597
stephanie,4593
price,4410
time,4381
let,4365
financial,4322
get,4309
global,4240
date,4196
click,4182
gas,4155
tom,4095
fax,4078
see,4045
one,4011
nda,3968
contract,3840
nymex,3818
karen,3754
transaction,3738
questions,3650
david,3611
name,3523
copy,3439
email,3421
business,3411
following,3319
per,3288
also,3288
america,3245
ena,3237
contact,3235
houston,3206
north,3192
list,3186
received,3151
lisa,3136
approval,3131
form,3127
mary,3072
clearing,3059
products,3022
phone,2923
contracts,2912
exchange,2900
day,2897
like,2895
request,2883
group,2873
access,2872
could,2819
enrononline,2728
corp,2711
approved,2696
swap,2689
samuel,2686
member,2682
regards,2625
futures,2606
john,2605
review,2536
leslie,2536
europe,2513
period,2492
executed,2482
transactions,2473
approvals,2462
number,2394
send,2347
services,2322
office,2297
members,2293
month,2266
changes,2263
http,2228
agreements,2216
thank,2167
paul,2165
e,2165
susan,2145
inc,2145
note,2141
want,2136
effective,2105
notice,2102
change,2099
r,2092
determination,2071
help,2065
friday,2064
online,2042
brant,2033
use,2033
back,2032
today,2016
frank,2012
forward,1988
make,1977
file,1968
sara,1960
bill,1955
l,1950
type,1947
tanya,1943
open,1941
october,1939
customer,1936
first,1921
comments,1910
counsel,1881
monday,1866
debbie,1860
division,1849
event,1797
address,1788
margin,1770
find,1761
place,1760
floor,1755
carol,1737
position,1731
database,1723
counterparties,1716
available,1707
bank,1702
oil,1692
physical,1690
submitted,1674
lesli,1659
trades,1646
system,1644
london,1640
report,1635
website,1632
think,1605
via,1604
bob,1602
going,1601
term,1595
select,1579
molly,1579
april,1574
center,1574
dated,1572
two,1572
canada,1561
week,1544
regarding,1538
provide,1538
look,1530
william,1528
wednesday,1524
gcp,1514
set,1512
entity,1511
return,1510
thursday,1510
option,1510
department,1501
work,1499
since,1494
kelly,1483
link,1472
senior,1470
robert,1462
market,1452
signed,1446
last,1441
net,1441
process,1435
provided,1435
texas,1431
corporation,1412
b,1402
march,1399
team,1399
must,1397
tuesday,1395
right,1393
responses,1386
go,1385
fw,1385
draft,1368
days,1364
final,1361
take,1356
crude,1348
quantity,1346
made,1340
letter,1335
mailto,1332
documents,1330
confirm,1330
deal,1322
november,1322
president,1316
joe,1303
cynthia,1299
good,1299
expiration,1297
smith,1294
site,1285
people,1279
works,1273
michael,1272
bernice,1271
walter,1266
party,1262
long,1250
amount,1246
receive,1237
sure,1233
termination,1228
well,1226
claudia,1223
commodity,1222
york,1221
moran,1213
account,1212
marketing,1204
best,1202
prior,1192
order,1190
peter,1188
copies,1187
line,1182
give,1177
either,1171
amendment,1170
current,1168
options,1162
g,1159
june,1156
issues,1155
rule,1155
free,1143
confidentiality,1139
web,1137
marie,1136
justin,1134
however,1133
working,1132
employees,1127
taylor,1125
street,1119
delivery,1115
next,1111
deals,1109
morning,1104
unit,1103
meeting,1102
status,1101
still,1093
management,1091
document,1089
bradley,1088
exercise,1066
brent,1063
internet,1057
natural,1057
sheri,1057
issue,1055
original,1053
volume,1051
tomorrow,1047
authorized,1047
confirmation,1045
check,1039
start,1034
brian,1028
anything,1016
end,1014
llc,1013
way,1011
password,1010
clickpaper,1008
types,1003
service,996
already,991
wendi,987
positions,985
cash,982
resources,980
revised,980
done,978
juana,976
alan,974
possible,974
applicable,972
limited,969
many,969
vice,967
law,964
might,962
put,962
said,960
id,957
december,954
index,948
fin,947
jeff,946
facilities,945
got,944
trang,942
schedule,940
stacey,938
tim,937
hi,935
weather,931
based,930
additional,930
input,929
requested,929
samantha,928
soon,925
proposed,923
calendar,923
jana,917
person,915
required,910
comex,907
settlement,905
payment,904
distribution,903
notional,898
terms,896
view,895
referenced,894
general,893
intended,893
confidential,892
cheryl,890
c,889
phy,888
language,886
firm,879
nothing,879
corporate,879
come,879
board,878
another,878
assignment,878
hope,872
sign,872
september,869
steel,869
used,868
within,867
months,863
initial,862
steve,859
guaranty,857
able,855
whether,847
indicate,846
year,843
add,839
fast,834
transfer,830
adnan,830
rate,830
larry,826
old,822
documentation,822
procedures,821
standard,821
support,820
reference,815
activity,813
paper,812
respect,810
interest,804
close,803
response,803
ok,803
version,800
sonya,798
chris,796
mike,795
approve,795
currently,795
quoted,792
january,790
cp,788
customers,787
immediately,786
completed,785
russell,783
needed,782
needs,779
upon,777
currency,777
press,776
later,775
united,775
great,773
eta,773
application,769
gtc,769
st,768
george,765
shari,764
ca,762
facts,758
spread,754
anthony,752
notes,752
section,748
include,748
risk,748
greenberg,748
mail,747
buyer,745
including,745
international,743
heard,743
firms,735
seller,735
data,735
ii,734
usual,734
control,727
amy,726
forms,724
recipient,723
listed,723
young,713
part,709
prices,708
prepare,707
update,706
getting,705
west,704
electronic,703
respond,702
text,701
offer,701
jeffrey,701
companies,700
quotes,698
greg,697
special,695
case,695
browser,693
capital,692
tax,692
happens,691
session,690
linda,686
house,684
harry,684
fyi,684
attorney,681
kevin,680
read,679
due,678
facsimile,674
afternoon,671
danny,670
asked,667
paragraph,667
eb,664
agreed,663
paste,658
applications,656
proceed,656
